Epoch,PSNR,SSIM,FID
0,26.587760355603535,0.6606070744669212,309.0969823092227
10,34.5061343367829,0.8385230455614334,195.49727187833344
20,35.525944753901754,0.8563196405064964,177.8795204475722
30,36.230539889864374,0.8599521482806629,165.60122435075473
40,36.004720652651024,0.8585864211453099,173.08726376448658
49,35.86766796043741,0.8634530720163159,170.26867344811012
